profile,case_id,expected_status,output_status,first_failure_point,critic_all_graded_count,critic_below_threshold_count,critic_top_relevance,critic_sufficiency,critic_next_action,retrieval_graded_total,retrieval_reranked_total,retrieval_graded_counts,retrieval_reranked_counts,judge_validation_error,judge_grounding_rate_field,data_coverage_gap,summary_path
full,g005,PARTIAL,SUFFICIENT,GOLDEN_LABEL_AMBIGUITY,8,6,0.9,sufficient,proceed,2,8,"{""by_source"": {""polygon_news"": 2}, ""l1"": 2, ""l2"": 0, ""total"": 2}","{""by_source"": {""fmp_fundamentals"": 3, ""polygon_news"": 5}, ""l1"": 7, ""l2"": 1, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_full_g005_g005_p1_trace.summary.json
full,g007,PARTIAL,SUFFICIENT,GOLDEN_LABEL_AMBIGUITY,8,6,0.9,sufficient,proceed,2,8,"{""by_source"": {""polygon_news"": 2}, ""l1"": 1, ""l2"": 1, ""total"": 2}","{""by_source"": {""fmp_fundamentals"": 1, ""polygon_news"": 7}, ""l1"": 6, ""l2"": 2, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_full_g007_g007_p1_trace.summary.json
full,g015,SUFFICIENT,INSUFFICIENT,DATA_COVERAGE_GAP,8,8,0.2,insufficient,refuse,0,8,"{""by_source"": {}, ""l1"": 0, ""l2"": 0, ""total"": 0}","{""by_source"": {""fmp_fundamentals"": 5, ""polygon_news"": 3}, ""l1"": 8, ""l2"": 0, ""total"": 8}",,,True,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_full_g015_g015_p1_trace.summary.json
full,g023,SUFFICIENT,PARTIAL,CRITIC_GATE,8,7,1.0,partial,proceed,1,8,"{""by_source"": {""polygon_news"": 1}, ""l1"": 1, ""l2"": 0, ""total"": 1}","{""by_source"": {""fmp_fundamentals"": 5, ""polygon_news"": 3}, ""l1"": 8, ""l2"": 0, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_full_g023_g023_p1_trace.summary.json
full,g046,SUFFICIENT,INSUFFICIENT,DATA_COVERAGE_GAP,8,8,0.2,insufficient,refuse,0,8,"{""by_source"": {}, ""l1"": 0, ""l2"": 0, ""total"": 0}","{""by_source"": {""fmp_fundamentals"": 5, ""polygon_news"": 3}, ""l1"": 7, ""l2"": 1, ""total"": 8}",,,True,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_full_g046_g046_p1_trace.summary.json
full,g049,SUFFICIENT,INSUFFICIENT,DATA_COVERAGE_GAP,8,8,0.2,insufficient,refuse,0,8,"{""by_source"": {}, ""l1"": 0, ""l2"": 0, ""total"": 0}","{""by_source"": {""fmp_fundamentals"": 5, ""polygon_news"": 3}, ""l1"": 7, ""l2"": 1, ""total"": 8}",,,True,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_full_g049_g049_p1_trace.summary.json
full,g050,SUFFICIENT,PARTIAL,CRITIC_GATE,8,7,0.9,partial,proceed,1,8,"{""by_source"": {""polygon_news"": 1}, ""l1"": 1, ""l2"": 0, ""total"": 1}","{""by_source"": {""fmp_fundamentals"": 5, ""polygon_news"": 3}, ""l1"": 8, ""l2"": 0, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_full_g050_g050_p1_trace.summary.json
no_rerank,g002,SUFFICIENT,PARTIAL,RETRIEVAL_RERANK,8,7,0.9,partial,proceed,1,8,"{""by_source"": {""polygon_news"": 1}, ""l1"": 1, ""l2"": 0, ""total"": 1}","{""by_source"": {""fmp_fundamentals"": 3, ""polygon_news"": 5}, ""l1"": 7, ""l2"": 1, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_no_rerank_g002_g002_p1_trace.summary.json
no_rerank,g003,SUFFICIENT,PARTIAL,RETRIEVAL_RERANK,8,7,0.9,partial,proceed,1,8,"{""by_source"": {""polygon_news"": 1}, ""l1"": 1, ""l2"": 0, ""total"": 1}","{""by_source"": {""fmp_fundamentals"": 3, ""polygon_news"": 5}, ""l1"": 6, ""l2"": 2, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_no_rerank_g003_g003_p1_trace.summary.json
no_rerank,g005,PARTIAL,SUFFICIENT,GOLDEN_LABEL_AMBIGUITY,7,5,0.9,sufficient,proceed,2,8,"{""by_source"": {""polygon_news"": 2}, ""l1"": 2, ""l2"": 0, ""total"": 2}","{""by_source"": {""polygon_news"": 8}, ""l1"": 5, ""l2"": 3, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_retry_g005_20260514_181258/summaries/p1_full_calibrated_retry_g005_20260514_181258_l1l2_no_rerank_g005_g005_p1_trace.summary.json
no_rerank,g007,PARTIAL,SUFFICIENT,GOLDEN_LABEL_AMBIGUITY,8,6,0.9,sufficient,proceed,2,8,"{""by_source"": {""polygon_news"": 2}, ""l1"": 1, ""l2"": 1, ""total"": 2}","{""by_source"": {""polygon_news"": 8}, ""l1"": 5, ""l2"": 3, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_no_rerank_g007_g007_p1_trace.summary.json
no_rerank,g012,SUFFICIENT,PARTIAL,RETRIEVAL_RERANK,8,7,0.8,partial,proceed,1,8,"{""by_source"": {""polygon_news"": 1}, ""l1"": 1, ""l2"": 0, ""total"": 1}","{""by_source"": {""polygon_news"": 8}, ""l1"": 5, ""l2"": 3, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_no_rerank_g012_g012_p1_trace.summary.json
no_rerank,g014,SUFFICIENT,PARTIAL,RETRIEVAL_RERANK,8,7,0.9,partial,proceed,1,8,"{""by_source"": {""polygon_news"": 1}, ""l1"": 1, ""l2"": 0, ""total"": 1}","{""by_source"": {""polygon_news"": 8}, ""l1"": 4, ""l2"": 4, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_no_rerank_g014_g014_p1_trace.summary.json
no_rerank,g015,SUFFICIENT,INSUFFICIENT,DATA_COVERAGE_GAP,7,7,0.4,insufficient,refuse,0,8,"{""by_source"": {}, ""l1"": 0, ""l2"": 0, ""total"": 0}","{""by_source"": {""fmp_fundamentals"": 4, ""polygon_news"": 4}, ""l1"": 7, ""l2"": 1, ""total"": 8}",,,True,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_no_rerank_g015_g015_p1_trace.summary.json
no_rerank,g023,SUFFICIENT,PARTIAL,CRITIC_GATE,8,7,1.0,partial,proceed,1,8,"{""by_source"": {""polygon_news"": 1}, ""l1"": 1, ""l2"": 0, ""total"": 1}","{""by_source"": {""fmp_fundamentals"": 5, ""polygon_news"": 3}, ""l1"": 7, ""l2"": 1, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_no_rerank_g023_g023_p1_trace.summary.json
no_rerank,g033,SUFFICIENT,PARTIAL,RETRIEVAL_RERANK,8,7,1.0,partial,proceed,1,8,"{""by_source"": {""polygon_news"": 1}, ""l1"": 1, ""l2"": 0, ""total"": 1}","{""by_source"": {""polygon_news"": 8}, ""l1"": 3, ""l2"": 5, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_no_rerank_g033_g033_p1_trace.summary.json
no_rerank,g039,SUFFICIENT,PARTIAL,RETRIEVAL_RERANK,8,7,0.9,partial,proceed,1,8,"{""by_source"": {""polygon_news"": 1}, ""l1"": 1, ""l2"": 0, ""total"": 1}","{""by_source"": {""fmp_fundamentals"": 1, ""polygon_news"": 7}, ""l1"": 5, ""l2"": 3, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_no_rerank_g039_g039_p1_trace.summary.json
no_rerank,g041,SUFFICIENT,PARTIAL,RETRIEVAL_RERANK,8,7,0.8,partial,proceed,1,8,"{""by_source"": {""polygon_news"": 1}, ""l1"": 1, ""l2"": 0, ""total"": 1}","{""by_source"": {""fmp_fundamentals"": 5, ""polygon_news"": 3}, ""l1"": 7, ""l2"": 1, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_no_rerank_g041_g041_p1_trace.summary.json
no_rerank,g043,SUFFICIENT,PARTIAL,RETRIEVAL_RERANK,8,7,0.8,partial,proceed,1,8,"{""by_source"": {""polygon_news"": 1}, ""l1"": 1, ""l2"": 0, ""total"": 1}","{""by_source"": {""polygon_news"": 8}, ""l1"": 5, ""l2"": 3, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_no_rerank_g043_g043_p1_trace.summary.json
no_rerank,g046,SUFFICIENT,INSUFFICIENT,DATA_COVERAGE_GAP,8,8,0.4,insufficient,refuse,0,8,"{""by_source"": {}, ""l1"": 0, ""l2"": 0, ""total"": 0}","{""by_source"": {""fmp_fundamentals"": 5, ""polygon_news"": 3}, ""l1"": 6, ""l2"": 2, ""total"": 8}",,,True,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_no_rerank_g046_g046_p1_trace.summary.json
no_rerank,g049,SUFFICIENT,INSUFFICIENT,DATA_COVERAGE_GAP,8,8,0.1,insufficient,refuse,0,8,"{""by_source"": {}, ""l1"": 0, ""l2"": 0, ""total"": 0}","{""by_source"": {""fmp_fundamentals"": 3, ""polygon_news"": 5}, ""l1"": 5, ""l2"": 3, ""total"": 8}",,,True,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_no_rerank_g049_g049_p1_trace.summary.json
no_rerank,g050,SUFFICIENT,PARTIAL,CRITIC_GATE,8,7,0.9,partial,proceed,1,8,"{""by_source"": {""polygon_news"": 1}, ""l1"": 1, ""l2"": 0, ""total"": 1}","{""by_source"": {""fmp_fundamentals"": 5, ""polygon_news"": 3}, ""l1"": 8, ""l2"": 0, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_no_rerank_g050_g050_p1_trace.summary.json
no_vector,g005,PARTIAL,SUFFICIENT,GOLDEN_LABEL_AMBIGUITY,8,5,0.9,sufficient,proceed,3,8,"{""by_source"": {""polygon_news"": 3}, ""l1"": 2, ""l2"": 1, ""total"": 3}","{""by_source"": {""polygon_news"": 8}, ""l1"": 3, ""l2"": 5, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_no_vector_g005_g005_p1_trace.summary.json
no_vector,g007,PARTIAL,SUFFICIENT,GOLDEN_LABEL_AMBIGUITY,8,6,0.9,sufficient,proceed,2,8,"{""by_source"": {""polygon_news"": 2}, ""l1"": 1, ""l2"": 1, ""total"": 2}","{""by_source"": {""polygon_news"": 8}, ""l1"": 5, ""l2"": 3, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_no_vector_g007_g007_p1_trace.summary.json
no_vector,g015,SUFFICIENT,INSUFFICIENT,DATA_COVERAGE_GAP,8,8,0.3,insufficient,refuse,0,8,"{""by_source"": {}, ""l1"": 0, ""l2"": 0, ""total"": 0}","{""by_source"": {""fmp_fundamentals"": 5, ""polygon_news"": 3}, ""l1"": 8, ""l2"": 0, ""total"": 8}",,,True,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_no_vector_g015_g015_p1_trace.summary.json
no_vector,g023,SUFFICIENT,PARTIAL,CRITIC_GATE,8,7,1.0,partial,proceed,1,8,"{""by_source"": {""polygon_news"": 1}, ""l1"": 1, ""l2"": 0, ""total"": 1}","{""by_source"": {""fmp_fundamentals"": 1, ""polygon_news"": 7}, ""l1"": 4, ""l2"": 4, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_no_vector_g023_g023_p1_trace.summary.json
no_vector,g027,SUFFICIENT,PARTIAL,CRITIC_GATE,8,7,0.9,partial,proceed,1,8,"{""by_source"": {""polygon_news"": 1}, ""l1"": 1, ""l2"": 0, ""total"": 1}","{""by_source"": {""fmp_fundamentals"": 3, ""polygon_news"": 5}, ""l1"": 5, ""l2"": 3, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_no_vector_g027_g027_p1_trace.summary.json
no_vector,g031,SUFFICIENT,PARTIAL,CRITIC_GATE,8,7,1.0,partial,proceed,1,8,"{""by_source"": {""polygon_news"": 1}, ""l1"": 1, ""l2"": 0, ""total"": 1}","{""by_source"": {""polygon_news"": 8}, ""l1"": 4, ""l2"": 4, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_no_vector_g031_g031_p1_trace.summary.json
no_vector,g046,SUFFICIENT,INSUFFICIENT,DATA_COVERAGE_GAP,8,8,0.1,insufficient,refuse,0,8,"{""by_source"": {}, ""l1"": 0, ""l2"": 0, ""total"": 0}","{""by_source"": {""fmp_fundamentals"": 5, ""polygon_news"": 3}, ""l1"": 6, ""l2"": 2, ""total"": 8}",,,True,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_no_vector_g046_g046_p1_trace.summary.json
no_vector,g049,SUFFICIENT,INSUFFICIENT,DATA_COVERAGE_GAP,8,8,0.2,insufficient,refuse,0,8,"{""by_source"": {}, ""l1"": 0, ""l2"": 0, ""total"": 0}","{""by_source"": {""fmp_fundamentals"": 5, ""polygon_news"": 3}, ""l1"": 7, ""l2"": 1, ""total"": 8}",,,True,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_no_vector_g049_g049_p1_trace.summary.json
no_vector,g050,SUFFICIENT,PARTIAL,CRITIC_GATE,8,7,0.9,partial,proceed,1,8,"{""by_source"": {""polygon_news"": 1}, ""l1"": 1, ""l2"": 0, ""total"": 1}","{""by_source"": {""fmp_fundamentals"": 5, ""polygon_news"": 3}, ""l1"": 8, ""l2"": 0, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_no_vector_g050_g050_p1_trace.summary.json
degraded,g001,SUFFICIENT,PARTIAL,MINER_COVERAGE,7,6,0.7,partial,proceed,1,8,"{""by_source"": {""polygon_news"": 1}, ""l1"": 1, ""l2"": 0, ""total"": 1}","{""by_source"": {""fmp_fundamentals"": 2, ""polygon_news"": 6}, ""l1"": 3, ""l2"": 5, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_degraded_g001_g001_p1_trace.summary.json
degraded,g002,SUFFICIENT,PARTIAL,CRITIC_GATE,8,7,1.0,partial,proceed,1,8,"{""by_source"": {""polygon_news"": 1}, ""l1"": 1, ""l2"": 0, ""total"": 1}","{""by_source"": {""polygon_news"": 8}, ""l1"": 3, ""l2"": 5, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_degraded_g002_g002_p1_trace.summary.json
degraded,g003,SUFFICIENT,PARTIAL,CRITIC_GATE,8,7,0.9,partial,proceed,1,8,"{""by_source"": {""polygon_news"": 1}, ""l1"": 1, ""l2"": 0, ""total"": 1}","{""by_source"": {""fmp_fundamentals"": 3, ""polygon_news"": 5}, ""l1"": 6, ""l2"": 2, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_degraded_g003_g003_p1_trace.summary.json
degraded,g004,SUFFICIENT,PARTIAL,CRITIC_GATE,8,7,0.9,partial,proceed,1,8,"{""by_source"": {""polygon_news"": 1}, ""l1"": 1, ""l2"": 0, ""total"": 1}","{""by_source"": {""polygon_news"": 8}, ""l1"": 3, ""l2"": 5, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_degraded_g004_g004_p1_trace.summary.json
degraded,g005,PARTIAL,SUFFICIENT,GOLDEN_LABEL_AMBIGUITY,8,6,0.9,sufficient,proceed,2,8,"{""by_source"": {""polygon_news"": 2}, ""l1"": 2, ""l2"": 0, ""total"": 2}","{""by_source"": {""polygon_news"": 8}, ""l1"": 3, ""l2"": 5, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_degraded_g005_g005_p1_trace.summary.json
degraded,g012,SUFFICIENT,PARTIAL,CRITIC_GATE,8,7,0.9,partial,proceed,1,8,"{""by_source"": {""polygon_news"": 1}, ""l1"": 1, ""l2"": 0, ""total"": 1}","{""by_source"": {""polygon_news"": 8}, ""l1"": 1, ""l2"": 7, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_degraded_g012_g012_p1_trace.summary.json
degraded,g014,SUFFICIENT,PARTIAL,CRITIC_GATE,8,7,0.9,partial,proceed,1,8,"{""by_source"": {""polygon_news"": 1}, ""l1"": 1, ""l2"": 0, ""total"": 1}","{""by_source"": {""polygon_news"": 8}, ""l1"": 2, ""l2"": 6, ""total"": 8}",,1.0,False,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_degraded_g014_g014_p1_trace.summary.json
degraded,g015,SUFFICIENT,INSUFFICIENT,DATA_COVERAGE_GAP,8,8,0.3,insufficient,refuse,0,8,"{""by_source"": {}, ""l1"": 0, ""l2"": 0, ""total"": 0}","{""by_source"": {""polygon_news"": 8}, ""l1"": 3, ""l2"": 5, ""total"": 8}",,,True,/Users/yiannischen/Desktop/Catalyst/data/eval_reports/p1_runs/p1_full_calibrated_20260514_155759/summaries/p1_full_calibrated_20260514_155759_l1l2_degraded_g015_g015_p1_trace.summary.json
